German,English,word_id,img
"das Frühstück,-e",breakfast,1,None
"das Mittagessen,-",lunch,2,None
"das Abendessen,-",dinner,3,None
"die Gabel,-n",fork,4,None
"der Löffel,-",spoon,5,None
"das Messer,-",knife,6,None
"der Teller,-",plate,7,None
"die Serviette,-n",napkin,8,None
"die Tasse,-n",cup,9,None
"das Glas,-:er",glass,10,None
"die Flasche,-n",bottle,11,None
"das Eis (Sg)",ice,12,None
"die Nachspeise,-n",dessert,13,None
"das Eis (Sg)",ice cream,14,None
"das Brot,-e",bread,15,None
"das Butter,-",butter,16,None
"das Salz,-e",salt,17,None
"der Pfeffer,-",pepper,18,None
"der Zucker,-",sugar,19,None
"der Honig,-e",honey,20,None
"das Olivenöl,-e",olive oil,21,None
"der Essig,-e",vinegar,22,None
"der/die/das Joghurt,-s",yogurt,23,None
"der Käse,-n",cheese,24,None
"das Ei,-er",egg,25,None
"das Müsli,-s",cereal,26,None
"die Suppe,-n",soup,27,None
"das Reis,-er",rice,28,None
"der Salat,-e",salad,29,None
"das Hähnchen,-",chicken,30,None
"das Rindfleisch,-e",beef,31,None
"das Lammfleisch,-e",lamb,32,None
"das Schweinefleisch,-e",pork,33,None
"das Fleisch,-e",meat,34,None
"das Essen,-",food,35,None
"der Schinken,-",ham,36,None
"das Steak,-s",steak,37,None
"die Wurst,-:e",sausage,38,None
"der Fisch,-e",fish,39,None
