German,English,word_id,img
"die Birne,-n",pear,45,pear.jpg
"der Apfel,-:",apple,46,apple.jpg
"die Melone,-n",melon,47,melon.jpg
"der Pfirsich,-e",peach,48,peach.jpg
"die Trauben(Pl)",grapes,49,grapes.jpg
"die Zitrone,-n",lemon,50,lemon.jpg
"die Aprikose,-n",apricot,51,apricot.jpg
"die Ananas,-se",pineapple,52,pineapple.jpg
"die Wassermelone,-n",watermelon,53,watermelon.jpg
"die Orange,-n",orange,54,orange.jpg
"die Avocado,-s",avocado,55,avocado.jpg
"die Banane,-n",banana,56,banana.jpg
"die Kirsche,-n",cherry,57,cherry.jpg
"die Erdbeere,-n",strawberry,58,strawberry.jpg
"der Kiwi,-s",kiwi,59,kiwi.jpg
"die Mango,-s",mango,60,mango.jpg
