Italian,English,word_id,img
la pera,pear,46,pear.jpg
la mela,apple,47,apple.jpg
il melone,melon,48,melon.jpg
la pesca,peach,49,peach.jpg
l'uva,grapes,50,grapes.jpg
il limone,lemon,51,lemon.jpg
l'albicocca,apricot,52,apricot.jpg
l'ananas,pineapple,53,pineapple.jpg
l'anguria,watermelon,54,watermelon.jpg
l'arancia,orange,55,orange.jpg
l'avocado,avocado,56,avocado.jpg
la banana,banana,57,banana.jpg
la ciliegia,cherry,58,cherry.jpg
la fragola,strawberry,59,strawberry.jpg
il kiwi,kiwi,60,kiwi.jpg
il mango,mango,61,mango.jpg
