Italian,English,word_id,img
la pera,pear,46,pear.jpg
la manzana,apple,47,apple.jpg
el melón,melon,48,melon.jpg
el durazno,peach,49,peach.jpg
la uva,grapes,50,grapes.jpg
el limón,lemon,51,lemon.jpg
el albaricoque,apricot,52,apricot.jpg
la piña,pineapple,53,pineapple.jpg
la sandía,watermelon,54,watermelon.jpg
la naranja,orange,55,orange.jpg
el avocado,avocado,56,avocado.jpg
la banana,banana,57,banana.jpg
la cereza,cherry,58,cherry.jpg
la fresa,strawberry,59,strawberry.jpg
el kiwi,kiwi,60,kiwi.jpg
el mango,mango,61,mango.jpg
