German, English,word_id,img
"das Fieber,-",fever,448,None
"die Kopfschmerzen Pl",headache,449,None
"das Nasenbluten Sg",nosebleed,450,None
"der Husten Sg",cough,451,None
"das Niesen,-",sneeze,452,None
"die Erkältung,-en",cold,453,None
"die Grippe Sg",flu,454,None
"das Asthma Sg",asthma,455,None
"der Krampf,-:e",cramp,456,None
"die Übelkeit,-en",dizziness,457,None
"der Herzinfarkt,-e",heart attack,458,None
"der Schlaganfall,-:e",stroke,459,None
"der Blutdruck Sg",blood pressure,460,None
"sich übergeben",to trow up,461,None
"in Ohnmacht fallen",to collapse,462,None
