German, English,word_id,img
"der Hals,-:e",throat,366,None
"die Brust,-:e",chest/breast,367,None
"der Bauch,-:e",belly,368,None
"die Hüfte,-n",hip,369,None
"das Geschlechtsteil,-e",genetals,370,None
"das Schinbein,-e",shinbone,371,None
"die Leiste,-n",lath,372,None
"das Bein,-e",leg,373,None
"der Fuß,-:e",foot,374,None
"das Knie,-",knee,375,None
"der Oberschenkel,-",thigh,376,None
"die Wade,-n",calf,377,None
"der Unterarm,-e",forearm,378,None
"der Kopf,-:e",head,379,None
"die Taille,-n",waist,380,None
"der Nabel,-",bellybutton,381,None
"die Schulter,-n",shoulder,382,None
"der Nacken,-",neck,383,None
"der Arm,-e",arm,384,None
"der Ellbogen,-",elbow,385,None
"das Handgelenk,-e",wrist,386,None
"die Hand,-:e",hand,387,None
"der Knöchel,-",ankle,388,None
"die Ferse,-n",heel,389,None
"der Rücken,-",back,390",None
"die Achselhöhle,-n",armpit,391,None
"das Kreuz,-e",sharp sign,392,None
"die Hinterbacke,-n",buttock,393,None




