German, English,word_id,img
"das Gesicht,-er",face,394,None
"das Haar,-e",hair,395,None
"die Haut,-:e",skin,396,None
"die Augenbraue,-n",eyebrow,397,None
"die Stirn,-en",forehead,398,None
"die Wimper,-n",eyelash,399,None
"das Ohr,-en",ear,400,None
"die Nase,-n",nose,401,None
"das Muttermal,-e",mole,402,None
"die Lippe,-n",lip,403,None
"das Kinn,-e",chin,404,None
"das Auge,-n",eye,405,None
"die Backe,-n",cheek,406,None
"das Nasenloch,-:er",nostril,407,None
"der Mund,-:er",mouth,408,None
"der Unterkiefer,-",jaw,409,None
"die Falte,-n",wrinkle,410,None
"die Sommersprosse,-n",freckle,411,None
"die Pore,-n",pore,412,None
"das Grübchen,-",dimple,413,None
